Date,Price
01/01/2022,3.74
02/01/2022,3.74
03/01/2022,3.74
04/01/2022,3.73
05/01/2022,3.78
06/01/2022,3.94
07/01/2022,3.83
08/01/2022,3.83
09/01/2022,3.83
10/01/2022,4.16
11/01/2022,4.16
12/01/2022,4.62
13/01/2022,4.78
14/01/2022,4.37
15/01/2022,4.37
16/01/2022,4.37
17/01/2022,4.37
18/01/2022,4.55
19/01/2022,4.89
20/01/2022,4.45
21/01/2022,4.11
22/01/2022,4.11
23/01/2022,4.11
24/01/2022,4.2
25/01/2022,4.24
26/01/2022,4.43
27/01/2022,4.43
28/01/2022,5.69
29/01/2022,5.69
30/01/2022,5.69
31/01/2022,5.56
01/02/2022,5.45
02/02/2022,6.7
03/02/2022,5.84
04/02/2022,5.34
05/02/2022,5.34
06/02/2022,5.34
07/02/2022,4.44
08/02/2022,4.3
09/02/2022,4.13
10/02/2022,4.03
11/02/2022,4.04
12/02/2022,4.04
13/02/2022,4.04
14/02/2022,4.05
15/02/2022,4.31
16/02/2022,4.39
17/02/2022,4.57
18/02/2022,4.61
19/02/2022,4.61
20/02/2022,4.61
21/02/2022,4.61
22/02/2022,4.48
23/02/2022,4.59
24/02/2022,4.78
25/02/2022,4.63
26/02/2022,4.63
27/02/2022,4.63
28/02/2022,4.46
01/03/2022,4.36
02/03/2022,4.65
03/03/2022,4.63
04/03/2022,4.74
05/03/2022,4.74
06/03/2022,4.74
07/03/2022,4.93
08/03/2022,4.61
09/03/2022,4.55
10/03/2022,4.65
11/03/2022,4.79
12/03/2022,4.79
13/03/2022,4.79
14/03/2022,4.59
15/03/2022,4.46
16/03/2022,4.68
17/03/2022,4.8
18/03/2022,4.87
19/03/2022,4.87
20/03/2022,4.87
21/03/2022,4.77
22/03/2022,5
23/03/2022,5.26
24/03/2022,5.19
25/03/2022,5.51
26/03/2022,5.51
27/03/2022,5.51
28/03/2022,5.52
29/03/2022,5.32
30/03/2022,5.32
31/03/2022,5.46
01/04/2022,5.43
02/04/2022,5.43
03/04/2022,5.43
04/04/2022,5.72
05/04/2022,5.95
06/04/2022,6.29
07/04/2022,6.05
08/04/2022,6.38
09/04/2022,6.38
10/04/2022,6.38
11/04/2022,6.35
12/04/2022,6.59
13/04/2022,6.68
14/04/2022,6.94
15/04/2022,6.94
16/04/2022,6.94
17/04/2022,6.94
18/04/2022,7.48
19/04/2022,7.44
20/04/2022,7.12
21/04/2022,6.88
22/04/2022,6.59
23/04/2022,6.59
24/04/2022,6.59
25/04/2022,6.42
26/04/2022,6.89
27/04/2022,6.91
28/04/2022,6.97
29/04/2022,6.84
30/04/2022,6.84
01/05/2022,6.84
02/05/2022,7.3
03/05/2022,7.84
04/05/2022,8.3
05/05/2022,8.42
06/05/2022,8.35
07/05/2022,8.35
08/05/2022,8.35
09/05/2022,8.06
10/05/2022,6.78
11/05/2022,7.53
12/05/2022,7.25
13/05/2022,7.75
14/05/2022,7.75
15/05/2022,7.75
16/05/2022,8.07
17/05/2022,8.26
18/05/2022,8.53
19/05/2022,8.21
20/05/2022,7.97
23/05/2022,8.16
24/05/2022,8.87
25/05/2022,8.87
26/05/2022,8.87
