date,civilians_killed,civilians_injured,children_killed,children_injured,interpolated
2022-02-24,28,81,2,5,True
2022-02-25,56,163,5,10,True
2022-02-26,85,244,7,15,True
2022-02-27,113,326,10,20,True
2022-02-28,142,408,13,26,False
2022-03-01,227,525,15,28,False
2022-03-02,249,553,17,30,False
2022-03-03,331,675,19,31,False
2022-03-04,351,707,22,36,False
2022-03-05,364,759,25,41,False
2022-03-06,406,801,27,42,False
2022-03-07,474,861,29,44,False
2022-03-08,516,908,37,50,False
2022-03-09,549,957,41,52,False
2022-03-10,564,982,41,52,False
2022-03-11,579,1002,42,54,False
2022-03-12,596,1067,43,57,False
2022-03-13,636,1125,46,62,False
2022-03-14,691,1143,48,62,False
2022-03-15,726,1174,52,63,False
2022-03-16,780,1252,58,68,False
2022-03-17,816,1333,59,74,False
2022-03-18,847,1399,64,78,False
2022-03-19,902,1459,75,98,False
2022-03-20,925,1496,75,99,False
2022-03-21,953,1557,78,105,False
2022-03-22,977,1594,81,108,False
2022-03-23,1035,1650,90,118,False
2022-03-24,1081,1707,93,120,False
2022-03-25,1104,1754,96,124,False
2022-03-26,1119,1790,99,126,False
2022-03-27,1151,1824,103,133,False
2022-03-28,1179,1860,104,134,False
2022-03-29,1189,1901,108,142,False
2022-03-30,1232,1935,112,149,False
2022-03-31,1276,1981,115,160,False
2022-04-01,1325,2017,120,168,False
2022-04-02,1417,2038,121,171,False
2022-04-03,1430,2097,121,178,False
2022-04-04,1480,2195,123,183,False
2022-04-05,1563,2213,130,188,False
2022-04-06,1611,2227,131,191,False
2022-04-07,1626,2267,132,197,False
2022-04-08,1766,2383,139,215,False
2022-04-09,1793,2439,142,229,False
2022-04-10,1842,2493,148,233,False
2022-04-11,1892,2558,153,246,False
2022-04-12,1932,2589,157,250,False
2022-04-13,1964,2613,161,252,False
2022-04-14,1982,2651,162,256,False
2022-04-15,2012,2706,164,261,True
2022-04-16,2042,2762,166,266,True
2022-04-17,2072,2818,169,272,False
2022-04-18,2104,2862,170,277,False
2022-04-19,2224,2897,173,280,False
2022-04-20,2345,2919,177,285,False
2022-04-21,2435,2946,184,286,False
2022-04-22,2511,2980,187,289,True
2022-04-23,2588,3015,191,292,True
2022-04-24,2665,3050,195,296,False
2022-04-25,2729,3111,201,299,False
2022-04-26,2787,3152,202,302,False
2022-04-27,2829,3180,205,303,False
2022-04-28,2899,3235,210,309,False
2022-04-29,2983,3262,215,312,True
2022-04-30,3068,3289,220,315,True
2022-05-01,3153,3316,226,319,False
2022-05-02,3195,3356,226,320,True
2022-05-03,3238,3397,227,322,False
2022-05-04,3280,3451,231,328,False
2022-05-05,3309,3493,234,330,False
2022-05-06,3333,3555,234,335,True
2022-05-07,3357,3617,234,340,True
2022-05-08,3381,3680,235,346,False
2022-05-09,3459,3713,238,347,False
2022-05-10,3496,3760,238,348,False
2022-05-11,3541,3785,239,355,False
2022-05-12,3573,3816,241,357,False
2022-05-13,3604,3842,242,357,True
2022-05-14,3636,3869,243,357,True
2022-05-15,3668,3896,245,358,False
2022-05-16,3752,4062,250,365,False
2022-05-17,3778,4186,251,382,False
2022-05-18,3811,4278,255,382,False
2022-05-19,3838,4351,256,383,False
2022-05-20,3868,4411,256,386,True
2022-05-21,3899,4471,256,390,True
2022-05-22,3930,4532,257,394,False
2022-05-23,3942,4591,258,399,False
2022-05-24,3974,4654,259,402,False
2022-05-25,3998,4693,260,404,False
2022-05-26,4031,4735,261,406,False
2022-05-27,4045,4765,261,409,True
2022-05-28,4059,4795,261,412,True
2022-05-29,4074,4826,262,415,False
2022-05-30,4113,4916,264,421,False
2022-05-31,4149,4945,267,423,False
2022-06-01,4169,4982,268,423,False
