X.1,22 February,23 February,24 February,25 February,26 February,27 February,28 February,1 March,2 March,3 March,4 March,7 March,10 March,11 March,13 March,14 March,15 March,16 March,17 March,18 March,24 March,25 March,29 March,31 March,5 April,6 April,7 April,8 April,11 April,12 April,13 April,14 April,19 April,20 April,21 April,25 April,27 April,3 May,4 May,6 May,8 May,17 May,20 May,31 May,2 June,14 April.1
Australia,,,37,347,17,,5,,7,,,17,,,34,,,,15,,44,,40,,,,66,,,,13,,2,,146,,,110,,,,30,,,,
Canada,,,416,,,,,18,,,20,20,,37,,,15,,,,160,,,,9,,,,34,,,,15,,,,204,,,,24,,14,23,,
EU,5,,363,99,,,,27,24,,,,160,,,1,24,,,2,,,,,,,,,235,,,,,,2,9,,,,,,,,,,
France,5,,,361,,97,,27,,22,1,,,159,,,,24,,,,,,,,,,,3,232,,,,,,,,,,,,,,,,
Switzerland,,,,368,,,3,,,,197,,,,,,,206,,,,94,,,,,,,,,235,,,,,,,,2,,,,,,,
UK,8,,11,2,,,3,9,,2,,,7,386,,,373,,,,60,,,17,,9,,3,,,206,2,,,26,,,,,,,,,,,
US,56,2,85,4,,,4,,,92,,,,35,,,15,,,,397,,,34,2,75,37,,,,,,,69,,,,,,1,124,,,,43,
