Australia,Canada,EU,France,Switzerland,UK,US,date
0.0,0.0,5.0,5.0,0.0,8.0,56.0,2022-02-22
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2022-02-23
37.0,416.0,363.0,0.0,0.0,11.0,85.0,2022-02-24
347.0,0.0,99.0,361.0,368.0,2.0,4.0,2022-02-25
17.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-26
0.0,0.0,0.0,97.0,0.0,0.0,0.0,2022-02-27
5.0,0.0,0.0,0.0,3.0,3.0,4.0,2022-02-28
0.0,18.0,27.0,27.0,0.0,9.0,0.0,2022-03-01
7.0,0.0,24.0,0.0,0.0,0.0,0.0,2022-03-02
0.0,0.0,0.0,22.0,0.0,2.0,92.0,2022-03-03
0.0,20.0,0.0,1.0,197.0,0.0,0.0,2022-03-04
17.0,20.0,0.0,0.0,0.0,0.0,0.0,2022-03-07
0.0,0.0,160.0,0.0,0.0,7.0,0.0,2022-03-10
0.0,37.0,0.0,159.0,0.0,386.0,35.0,2022-03-11
34.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-13
0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-03-14
0.0,15.0,24.0,0.0,0.0,373.0,15.0,2022-03-15
0.0,0.0,0.0,24.0,206.0,0.0,0.0,2022-03-16
15.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-17
0.0,0.0,2.0,0.0,0.0,0.0,0.0,2022-03-18
44.0,160.0,0.0,0.0,0.0,60.0,397.0,2022-03-24
0.0,0.0,0.0,0.0,94.0,0.0,0.0,2022-03-25
40.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-29
0.0,0.0,0.0,0.0,0.0,17.0,34.0,2022-03-31
0.0,9.0,0.0,0.0,0.0,0.0,2.0,2022-04-05
0.0,0.0,0.0,0.0,0.0,9.0,75.0,2022-04-06
66.0,0.0,0.0,0.0,0.0,0.0,37.0,2022-04-07
0.0,0.0,0.0,0.0,0.0,3.0,0.0,2022-04-08
0.0,34.0,235.0,3.0,0.0,0.0,0.0,2022-04-11
0.0,0.0,0.0,232.0,0.0,0.0,0.0,2022-04-12
13.0,0.0,0.0,0.0,235.0,206.0,0.0,2022-04-13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-14
0.0,0.0,0.0,0.0,0.0,2.0,0.0,2022-04-14
2.0,15.0,0.0,0.0,0.0,0.0,0.0,2022-04-19
0.0,0.0,0.0,0.0,0.0,0.0,69.0,2022-04-20
146.0,0.0,2.0,0.0,0.0,26.0,0.0,2022-04-21
0.0,0.0,9.0,0.0,0.0,0.0,0.0,2022-04-25
0.0,204.0,0.0,0.0,0.0,0.0,0.0,2022-04-27
110.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-03
0.0,0.0,0.0,0.0,2.0,0.0,0.0,2022-05-04
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022-05-06
0.0,24.0,0.0,0.0,0.0,0.0,124.0,2022-05-08
30.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-17
0.0,14.0,0.0,0.0,0.0,0.0,0.0,2022-05-20
0.0,23.0,0.0,0.0,0.0,0.0,0.0,2022-05-31
0.0,0.0,0.0,0.0,0.0,0.0,43.0,2022-06-02
