data_date,individuals
2022-02-24,82827
2022-02-25,187543
2022-02-26,335422
2022-02-27,506914
2022-02-28,670415
2022-03-01,838502
2022-03-02,1012400
2022-03-03,1178689
2022-03-04,1350446
2022-03-05,1548178
2022-03-06,1753812
2022-03-07,1961053
2022-03-08,2144971
2022-03-09,2315402
2022-03-10,2449767
2022-03-11,2570106
2022-03-12,2685984
2022-03-13,2844235
2022-03-14,2958709
2022-03-15,3069795
2022-03-16,3174590
2022-03-17,3270063
2022-03-18,3352622
2022-03-19,3429283
2022-03-20,3496618
2022-03-21,3561244
2022-03-22,3629473
2022-03-23,3677796
2022-03-24,3737337
2022-03-25,3803343
2022-03-26,3867831
2022-03-27,3927952
2022-03-28,3980032
2022-03-29,4021993
2022-03-30,4061872
2022-03-31,4100248
2022-04-01,4134789
2022-04-02,4173249
2022-04-03,4211794
2022-04-04,4243582
2022-04-05,4278789
